Datetime,Open,High,Low,Close,Volume
2021-04-05 11:15:00-04:00,405.8450012207031,405.9100036621094,405.7300109863281,405.739990234375,392072
2021-04-05 11:20:00-04:00,405.739990234375,405.7699890136719,405.6300048828125,405.739990234375,705227
2021-04-05 11:25:00-04:00,405.7300109863281,405.7749938964844,405.6700134277344,405.7099914550781,566191
2021-04-05 11:30:00-04:00,405.7099914550781,406.05999755859375,405.69000244140625,406.0400085449219,1103899
2021-04-05 11:35:00-04:00,406.0303039550781,406.4700012207031,406.0199890136719,406.42999267578125,748986
2021-04-05 11:40:00-04:00,406.4281005859375,406.5,406.3500061035156,406.38861083984375,1020962
2021-04-05 11:45:00-04:00,406.32501220703125,406.4200134277344,406.260009765625,406.3299865722656,283664
2021-04-05 11:50:00-04:00,406.3399963378906,406.3587951660156,406.17999267578125,406.25,664342
2021-04-05 11:55:00-04:00,406.260009765625,406.4100036621094,406.1700134277344,406.2200012207031,1218751
2021-04-05 12:00:00-04:00,406.2099914550781,406.3999938964844,406.2099914550781,406.3299865722656,387150
2021-04-05 12:05:00-04:00,406.3310852050781,406.4150085449219,406.260009765625,406.3500061035156,835264
2021-04-05 12:10:00-04:00,406.35101318359375,406.4200134277344,406.29998779296875,406.3299865722656,663936
2021-04-05 12:15:00-04:00,406.3299865722656,406.3699951171875,406.260009765625,406.3500061035156,426937
2021-04-05 12:20:00-04:00,406.34991455078125,406.4800109863281,406.34991455078125,406.45001220703125,476818
2021-04-05 12:25:00-04:00,406.4549865722656,406.6700134277344,406.4549865722656,406.5899963378906,686406
2021-04-05 12:30:00-04:00,406.5899963378906,406.8699951171875,406.57501220703125,406.82000732421875,461525
2021-04-05 12:35:00-04:00,406.82000732421875,406.94000244140625,406.79998779296875,406.8299865722656,941197
2021-04-05 12:40:00-04:00,406.8299865722656,406.8800048828125,406.6700134277344,406.7099914550781,489982
2021-04-05 12:45:00-04:00,406.7099914550781,406.7799987792969,406.6300048828125,406.6499938964844,1350284
2021-04-05 12:50:00-04:00,406.6499938964844,406.6499938964844,406.260009765625,406.260009765625,636265
2021-04-05 12:55:00-04:00,406.2699890136719,406.3800048828125,406.1600036621094,406.3599853515625,599591
2021-04-05 13:00:00-04:00,406.3550109863281,406.5199890136719,406.29998779296875,406.5050048828125,474163
2021-04-05 13:05:00-04:00,406.510009765625,406.6099853515625,406.4100036621094,406.510009765625,308389
2021-04-05 13:10:00-04:00,406.5199890136719,406.53680419921875,406.30999755859375,406.3500061035156,930671
2021-04-05 13:15:00-04:00,406.3500061035156,406.3999938964844,406.2099914550781,406.3599853515625,866300
2021-04-05 13:20:00-04:00,406.3500061035156,406.4200134277344,406.260009765625,406.2900085449219,363857
2021-04-05 13:25:00-04:00,406.2799987792969,406.3310852050781,406.1700134277344,406.260009765625,644089
2021-04-05 13:30:00-04:00,406.260009765625,406.45001220703125,406.260009765625,406.3999938964844,690897
2021-04-05 13:35:00-04:00,406.4100036621094,406.44000244140625,406.1000061035156,406.17999267578125,937853
2021-04-05 13:40:00-04:00,406.17999267578125,406.2099914550781,406.0799865722656,406.1000061035156,501534
2021-04-05 13:45:00-04:00,406.1000061035156,406.2900085449219,406.1000061035156,406.2699890136719,474106
2021-04-05 13:50:00-04:00,406.260009765625,406.3800048828125,406.2099914550781,406.3599853515625,1106471
2021-04-05 13:55:00-04:00,406.3599853515625,406.5899963378906,406.29998779296875,406.5899963378906,738118
2021-04-05 14:00:00-04:00,406.5799865722656,406.6000061035156,406.3500061035156,406.3599853515625,512049
2021-04-05 14:05:00-04:00,406.42999267578125,406.55999755859375,406.3599853515625,406.4800109863281,313242
2021-04-05 14:10:00-04:00,406.4849853515625,406.5299987792969,406.4400939941406,406.4849853515625,1145724
2021-04-05 14:15:00-04:00,406.489990234375,406.5199890136719,406.44000244140625,406.4599914550781,539783
2021-04-05 14:20:00-04:00,406.4505920410156,406.48809814453125,406.3349914550781,406.381103515625,289570
2021-04-05 14:25:00-04:00,406.3800048828125,406.4599914550781,406.3299865722656,406.3900146484375,306563
2021-04-05 14:30:00-04:00,406.3900146484375,406.5799865722656,406.3699951171875,406.5199890136719,663412
2021-04-05 14:35:00-04:00,406.5199890136719,406.67498779296875,406.42999267578125,406.6700134277344,624028
2021-04-05 14:40:00-04:00,406.67498779296875,406.8299865722656,406.44000244140625,406.55999755859375,1404333
2021-04-05 14:45:00-04:00,406.54998779296875,406.57000732421875,406.3399963378906,406.4186096191406,1873947
2021-04-05 14:50:00-04:00,406.4200134277344,406.489990234375,406.1600036621094,406.2049865722656,896989
2021-04-05 14:55:00-04:00,406.2099914550781,406.3599853515625,406.10009765625,406.114990234375,574872
2021-04-05 15:00:00-04:00,406.110107421875,406.2049865722656,405.7799987792969,405.80999755859375,1078640
2021-04-05 15:05:00-04:00,405.81500244140625,406.010009765625,405.75,405.9599914550781,1295267
2021-04-05 15:10:00-04:00,405.9599914550781,406.0400085449219,405.95001220703125,406.0069885253906,716773
2021-04-05 15:15:00-04:00,406.010009765625,406.4200134277344,405.92999267578125,406.4200134277344,1065707
2021-04-05 15:20:00-04:00,406.4100036621094,406.42999267578125,406.17999267578125,406.2008972167969,889964
2021-04-05 15:25:00-04:00,406.2008972167969,406.2200012207031,405.80999755859375,406.010009765625,992815
2021-04-05 15:30:00-04:00,406.0199890136719,406.04998779296875,405.8330078125,405.8599853515625,992571
2021-04-05 15:35:00-04:00,405.8699035644531,406.3399963378906,405.8599853515625,406.2799987792969,1289011
2021-04-05 15:40:00-04:00,406.2799987792969,406.3900146484375,405.9150085449219,406.2950134277344,1717729
2021-04-05 15:45:00-04:00,406.29998779296875,406.8399963378906,406.17999267578125,406.44000244140625,1831523
2021-04-05 15:50:00-04:00,406.42999267578125,406.7799987792969,406.1099853515625,406.70001220703125,3038196
2021-04-05 15:55:00-04:00,406.69000244140625,406.79998779296875,406.2099914550781,406.30999755859375,5972951
2021-04-05 16:00:00-04:00,406.31,406.4542,400.6086,406.35,0
2021-04-05 16:05:00-04:00,406.34,406.41,400.6086,406.41,0
2021-04-05 16:10:00-04:00,406.41,406.54,406.34,406.43,0
